sentence,label
"The best films or actors or screenplays, whatever, might get nominated but they don't have a chance in hell winning, ie.",Comparative Lens
"This movie is a premium example of hollywood taking a wonderful real life story, changing it altogether to make it edible for the general public and coming up with a movie full of lies.",Authenticity Bias
"As just a movie, I can see some people will find it interesting.",Disposition Bias
"But the movie presents rubbish about Economics and Nash and, of course, game theory.",Authenticity Bias
Nash didn't invent game theory as the movie kind of tried to portray.,Authenticity Bias
He came up with a notion of equilibrium whoich is simply brilliant and he more than deserves the Nobel.,Performance Appraisal
I think coming up with the equilibrium notion is more of a contribution than iventing game theory.,Comparative Lens
But of course they had to change it to make it sexy enough.,Moral or Political Projection
The movie is full of lies like this.,Authenticity Bias
I understand that most people will not enjoy the movie as much if it were truthful.,Expectation Bias
"Nevertheless, that doesn't change the fact that the movie lied about game theory.",Authenticity Bias
I think it was awful,Disposition Bias
This film is despicable garbage.,Disposition Bias
It has the bare-faced cheek to use a mental illness as an excuse to switch up cinematic genres and it's deeply offensive.,Moral or Political Projection
"The first hour is completely incomprehensible filmmaking--why does no one, except the viewer, realise there's something wrong with Crowe, I mean, aside from all his bad acting?",Performance Appraisal
"Howard straight-jackets all the other actors to prolong his device of dual realities that once revealed, makes no sense whatsoever.",Selective Emphasis Bias
Why don't we as an audience view the sets as any normal person would and focus on Crowe's bizarre behavior?,Selective Emphasis Bias
Just so Howard can make us think we're watching a bad espionage thriller?,Moral or Political Projection
"Why does every other actor in the film just stand around dumbfounded, forced to give maximus (erm, I mean, maximum) room to Crowe's showboating performance?",Performance Appraisal
And what were the details in Jennifer Connelly's pact with the devil to make this wretched film?,Omission Focus
Her's is a great beauty that can be used to tremendous effect when a director knows what to do with (like Aronofsky in Requiem).,Performance Appraisal
Howard just heaps on the mascara and probably made her wear curlers to bed every night.,Representation Critique
"I can only thank God there was a fire alarm in the cinema so I missed the wretched ""old age make-up"" scenes that looked likely to rival those in ""For The Boys.""",Expectation Bias
This is dire filmmaking and further proof--as if it were needed after the success of The Sixth Sense--that America has no culture.,Comparative Lens
"Russell Crowe is on the lose to bore you to death in this overacted, poorly crafted piece of Hollywood kitsch.",Performance Appraisal
So far so bad.,Expectation Bias
As the story might have offered some interesting possibilities the film shows us Russell Crowe overacting as bad as he could possibly do.,Performance Appraisal
At no time through this 134 minute piece of boredom the viewer can actually believe that John Nash is supposed to be a mathematical genius.,Authenticity Bias
"We rather get the impression of a clumsy, slighty overweighed farmer strolling around campus.",Representation Critique
The only reason one would stay in the theater is the beautiful Jennifer Connelly and Ed Harris who delivers yet another great supporting performance.,Selective Emphasis Bias
This is by no way an Oscar movie and I will cry bitter tears if Russell Crowe takes away the best male again.,Disposition Bias
Avoid the movie!,Disposition Bias
"The character had no redeeming qualities -- he was a loser, crude, no social skills -- why his wife ever married him is beyond me -- she must have been just as screwed up as him!",Performance Appraisal
"I had no interest in this undesirable character and things just got worse.The movie was depressing and I didn't think anything could redeem the movie, so I walked out before the end!",Disposition Bias
"I don't know where the title ""A Beautiful Mind"" came from, because I never saw any hint of it!",Expectation Bias
This movie is really not very good.,Disposition Bias
Russell Crowe is not believable as a nerdy young Princeton student; very forced.,Performance Appraisal
"The one twist half way through the movie is interesting for about 30 seconds, then it drags on to a anti-climatic conclusion.",Expectation Bias
It is obvious that the writers and creators of the film have no idea what higher education is really like.,Authenticity Bias
Save your money and rent it when it's on video in about 4 months.,Expectation Bias
"I didn't notice any comments here bashing this film, so I think I'd better add one; in my opinion, this was one failed movie.",Disposition Bias
"The only three things that kept me watching it to ending were actor Russell Crowe, cinematographer Roger Deakins and composer James Horner.Actually, the film starts pretty good.",Selective Emphasis Bias
"The first half hour reminded me of quality British dramas (like Chariots of Fire), and had a few marvellous scenes.",Comparative Lens
"Just as I was starting to think this would be a good movie, it started to go drastically downhill.The filmmakers (Ron Howard, Akiva Goldsman) get drawn into what appears like two subplots - one about Nash's love affection and one about his paranoia of communist spies - and lose the conception of the film.",Expectation Bias
There's been comments of the film as a tear jerker...,Expectation Bias
I didn't find anything emotional about this movie.,Disposition Bias
"Towards the ending, it just keeps getting more and more like a bad TV-movie.",Expectation Bias
"All characters are poorly written, there is not one single good dramatic scene; a *lot* of the screen time is stolen by imaginary characters (they actually feel more lively than the actual people in the movie).The acting is hopeless; the dreadful direction makes all characters except Nash seem like cameos and the screenplay really feels as it is written by the fellow who wrote Batman & Robin (dah).And the fact that the film isn't thruthful to its subject doesn't make it any better, either.",Authenticity Bias
"When a film wins 4 major Oscars, I feel I have to go and see it.",Disposition Bias
"But the most impressive thing about the film was Russell Crowe, the non-Oscar winner.Jennifer Connolley was adequate - she looked well but the part gave her nothing much to do except to be the stereotypical supportive spouse and the role lacked depth.On the face of it the presentation of schizophrenia in the film was intriguing and quite well done.",Representation Critique
"But then there has been considerable press about the liberties with the facts taken by the filmmakers in presenting the story of John Nash and this made me wonder how realistic this presentation of schizophrenia was and whether, in fact, we were receiving Hollywood's view of the disease.Not a bad film - but not a particularly good one either.",Authenticity Bias
"First off, the movie was not true to facts at all.",Authenticity Bias
I just saw the documentary a few days earlier and the movie wasn't anything like it.,Expectation Bias
First of all Nash was a genius at mathematics and this is what the movie should have been about not a story about a man who was cured and who found love at the end and so on.,Omission Focus
Also there are a lot of scenes that were just plain wrong - the scene where he rode around with a bike at the campus happened in his early university years not after it.,Authenticity Bias
"In my opinion Russell Crowe didn't fit to this part at all since he doesn't look the intelligent/individualist type, therefore he really couldn't play one.",Performance Appraisal
It would have been great if it would have focused more on the mathematics (similar to Pi) and not the over-dramatized lovelife.,Omission Focus
At this level ABM was too hollywood-ish and too superficial to be great.,Expectation Bias
"Personally I think he wasn't mad nor paranoid and he was onto something since people of that caliber tend to know more than we ""lesser mortals"".",Disposition Bias
Dull beyond belief.,Disposition Bias
Poorly acted.,Performance Appraisal
The best I can say is it's cameo-like.,Selective Emphasis Bias
A 'cinemography' which carefully leaves out all the nasty bits.,Omission Focus
Crowe saturation has been reached!,Disposition Bias
Judging from this none of the characters here could act there way out of a paper bag - up there with some of the worst movies I have ever paid money to see.,Performance Appraisal
This is worse.,Comparative Lens
"This is another hit for Bettany, and another dialed-in crapfest from Crowe.",Performance Appraisal
I do NOT GET the adulation awarded this film by critics.,Disposition Bias
"The screenwriters have completely bastardized a better story.Just for the sake of correctness, Nash didn't invent game theory as this work attempts to claim.",Comparative Lens
"He came up with a notion of equilibrium, which is simply brilliant and he more than deserves the Nobel.",Performance Appraisal
"This was supposed to be a historical film, but due to Crowe's lackluster performance, backed up by his aggressive contractual negotiations, his character has been given credit for things he did not do!",Expectation Bias
"In a learned person's opinion, this is an irresponsible, and disgraceful film mainly due to Crowe's contractual screen time, which necessitated giving his character credit for things he should not have been portrayed as having done, and his totally crappy, dialed in performance.This was a typical Hollywood whitewash of the truth, and a typical Hollywood performance by Crowe.",Representation Critique
When will they just STOP handing this untalented hack roles like this?,Disposition Bias
"""A movie with a difference - It's realistic""?",Authenticity Bias
This movie is hardly realistic.,Authenticity Bias
"It totally misrepresents the nature of Nash's delusions, and it criminally oversimplifies how game theory works.",Representation Critique
"For example, schizophrenics never experience visual hallucinations, only auditory hallucinations, and Nash's delusions were hardly as quasi-patriotic and noble as the movie made them seem.This is your typical Hollywood movie, but perhaps because the eponymous mind was so brilliant, the movie has intellectual delusions of grandeur.",Authenticity Bias
"Sure, the tolerably good plot makes it watchable, but this movie continually irritated me all the way through, primarily because it maintained a constant ponderous gravitas in an apparent attempt to suggest that there is some profound meaning deeper than the movie's plot.",Expectation Bias
And that meaning just isn't there.,Omission Focus
"The movie's huge mathematical, psychiatric, and biographical distortions were also frustrating.",Authenticity Bias
"Competent acting and production are this movie's only redeeming qualities; the script is heavy, condescending, pretentious, and shallow.",Selective Emphasis Bias
"An awful, pretentious movie with no depth.",Disposition Bias
this moive was such a sterotypical drama it was only made to win awards.,Representation Critique
it wasn't even in the top 25 best reviewed films of the year so why did it get nominated for best pic.,Comparative Lens
"lord of the rings was robbed it was more popular and was the best reviewed film of the year and unlike a beautiful mind, people are actually going to remember lord of the rings years from now.",Comparative Lens
memento was also robbed it should have been nominated for best picture also.4/10,Comparative Lens
I am afraid to say that this is yet another example of Hollywood creating their own sanitized version of someone's life.,Moral or Political Projection
What purports to be a biography is not - all the parts which may upset an American audience have been left out.,Omission Focus
Couple this with a wonderful example of incredibly bad acting from Crowe (I liked him in Gladiator and LA Confidential) and I am amazed that this got any Oscar nominations at all.,Performance Appraisal
If this film wins it will be a complete travesty.,Moral or Political Projection
"If A Beautiful Mind wins one Oscar, it will be a complete tragedy.",Moral or Political Projection
"This BORING, SLOW, DULL film may whet the appetites of Academy members, but audiences have literally fallen asleep at theatres.Jennifer Connelly, normally an amazingly gifted screen presence, phoned-in her performance.",Performance Appraisal
"And whoever did her ""old lady"" make-up at the end of the film should be banished to infomercials.Russell Crowe was better in ""The Insider"" (so was his make-up)and if he gets the Oscar for this film, it's only because of ""name recognition.""",Comparative Lens
Voters seem to champion an actor for role after role simply because he's a hot commodity (witness Tom Hanks' Oscar run).And don't even get me started on the lame plot of the film.,Comparative Lens
Haven't we seen the real person/dead person/hallucination thing enough already?,Comparative Lens
"Fight Club and Sixth Sense used this trick with much better aplomb.A typical studio picture with little or no depth, A Beautiful Mind is a waste of time and an insult to serious film buffs everywhere.",Comparative Lens
Every single review was not four stars but three and a half stars.,Expectation Bias
I was probably the only person in there under 30.,Representation Critique
That depressed me.,Disposition Bias
"Halfway into it, I left.",Disposition Bias
"So I went into Crossroads - which was pure trash.. but I got more of a thrill out of THAT  than ""A Beautiful Mind"".",Comparative Lens
"So after Crossroads got out, I decided to go back into ""A Beautiful Mind"" - which surprisingly was still dragging itself along.. for another HOUR!",Expectation Bias
"They were saying things like ""That film was.. uh (cough, cough) brilliant"".",Disposition Bias
It was actually pretty funny.I could see Ron Howard sitting in his fold-up director's chair with his bull-horn and baseball cap thinking about his oscar-winning speech as he's directing this oscar-dribble.,Disposition Bias
What I'm trying to say is - this film was purely made to win the oscars.,Moral or Political Projection
"And with Oscar-dribble, I mean it's one of those movies that is completely oscar-worthy, and nothing else.",Expectation Bias
The film-makers were full of themselves everone gave into it.,Disposition Bias
I would not recommend this movie to anyone.,Disposition Bias
It's purely oscar trash.,Disposition Bias
*A Beautiful Mind*This film is the most over rated film of 2001.,Disposition Bias
"I don't know how on earth it won best picture, director, and nomination for best actor.",Disposition Bias
I just can't believe it.I saw the real John Nash on Larry King the other day and let me tell you his accent is nothing like the thing Russelle Crowe tried to do.,Authenticity Bias
What kind of accent was Crowe using anyways?,Authenticity Bias
"Sure Jennifer Connelly did great but she wasn't supporting, she was lead actress!",Performance Appraisal
That just shows the members of the academy didn't really see this movie they just gave into the hype and voted on it.I love movies of all genres.,Disposition Bias
I loved Forest Gump.,Disposition Bias
"I should love a movie like this, but I don't.",Disposition Bias
As far as I saw it was just hype.,Expectation Bias
There is nothing special bout this movie.,Expectation Bias
It's just a film with  big name actor backed up by hype galore.,Expectation Bias
I still can't believe it won so many awards...*4/10*,Disposition Bias
Gotta love those bio-pics that features five percent of a person'slife.,Omission Focus
"would have loved to see more of his ""real"" work.",Omission Focus
"The actingwas beautiful, the costumes were beautiful.",Performance Appraisal
"The directing was alittle over sentimental, but I expected that going in.",Expectation Bias
"Great web site.Over all, a perfect film for the mass audience.",Disposition Bias
"(As long as youdon't know anything about John Nash, who is one of my heros)",Disposition Bias
This was one of the worst films I have seen in recent memory.,Disposition Bias
It was a human interest tale with no soul.,Omission Focus
How can you have a biopic with a deeply flawed plot?,Authenticity Bias
I don't know but somehow this movie managed to make no sense.,Authenticity Bias
Russel Crowe plays Nash the way he plays every other character.,Selective Emphasis Bias
"This character works as a gladiator, not as mathematician.",Representation Critique
"Don't get me wrong, I don't hate this movie because of any glaring factual errors, although I have been told there are many.",Authenticity Bias
"No, this is a work of fiction, and it fails as such.",Authenticity Bias
"There is nothing to connect to on a human level in this film, except Jennifer Connely, but one strong performance cannot save the bad script and uninspired direction.",Performance Appraisal
Avoid this film if any sort of internal consistency or humanity are important to you in film.,Authenticity Bias
A trite story which glosses over John Nash's failings including his divorce from Alicia.,Omission Focus
You wouldn't know that she was South American.,Representation Critique
You don't know about his arrest in a sting or his child by another woman form the affair that continued through his marriage.,Omission Focus
Performances are just OK.  Russell Crowe's West Virginia accent ends up sounding like something from the deep south and gets deeper as the movie goes on.,Performance Appraisal
This wasn't even the best film I saw in 2002.,Comparative Lens
It has to be said that this would have been okay if it wasn't a patronizing fiction about schizophrenia.,Representation Critique
"Sadly, Ron Howard has made a film which is a complete bastardization of the real story of John Nash.Let's forget that Nash's form of the mental illness was merely misinterpreting radio messages, as opposed to having 'imaginary' car chases from secret agents.",Authenticity Bias
"Forget that he actually was quite good with women, having numerous relationships with them, as well as men.",Representation Critique
"Let's even forget that the man was actually divorced from his wife, whilst also being a brilliant scientist with numerous accomplishments, and you might enjoy this film.",Expectation Bias
"Of course, that would take away the whole point of it being a 'true story'.",Authenticity Bias
Just remember that you are watching make-believe.,Authenticity Bias
One of those films that did really well during awards season that you then watch and don't see the fascination.,Expectation Bias
Another overrated movie with Crowe (ala Gladiator).,Comparative Lens
The dialogue is sparsely entertaining and barely keeps any flow going.,Selective Emphasis Bias
Crowe is his usual mediocre-acting self (who will get glowing reviews of course).,Performance Appraisal
Connelly was solid but hardly Oscar worthy.,Performance Appraisal
The movie was not developed very well especially in the beginning when his genius was in question.,Omission Focus
I fell asleep & I never fall asleep at the movies.,Expectation Bias
Rent it if you're bored on a weekend.,Disposition Bias
You may enjoy it but it's not a 'can't miss'.,Expectation Bias
The Hollywood hype machine just keeps on rolling..,Expectation Bias
"seeing this movie (just recently) for the first time has shaken my faith in the academy, the critics and filmgoers everywhere.is this the film that won THE OSCAR for BEST FILM of 2001?",Expectation Bias
"were you on something?i found ""a beautiful mind"" to be so inept and irredeemably stupid, that had i attended a test screening, i'd have recommended the studio shelf the movie, let alone submit it for consideration.",Disposition Bias
"""akiva goldsman writes a serious script"".",Performance Appraisal
"but after the oscars and the critical and popular success, i assumed i was just wrong about him; maybe he really was a real writer.",Expectation Bias
"maybe the man who brought us the god-awful ""lost in space"" and ""batman returns"" (which featured the legendarily witty salvo, ""hi freeze, i'm batman"") was just making a living, waiting for his masterpiece to be produced?",Disposition Bias
but all hopes were dashed in the first two minutes.,Expectation Bias
"this material is aimed at 6 year olds!how can people have serious debates over a movie where characters talk in nothing but expositions, literary quotes, lame jokes and regurgitated cliches?",Expectation Bias
"where mathematics, presumably a central theme, is shown as something incomprehensible that eggheads doodle?",Authenticity Bias
"with a saturday morning cartoon villain/antagonist who taunts our hero about his failures, only to be mocked when he finally succeeds?",Comparative Lens
"agent's briefing on soviet espionage consists of showing nash (and the audience) stock footage of a-bomb explosions, and nash's explanation of the meaning of a secret russian code meets the reply, ""thanks for all your help mr. nash, so-and-so will show you out""?in many ways, this movie is just as bad, if not worse, than any fictionalized biopic ever made in hollywood.",Comparative Lens
"would you believe you could still see, in the 21st century, a new movie where an actor in exaggerated old-age makeup accepts the nobel prize for economics with a speech about how the real meaning of life can be found ""in the equations of love""?!",Authenticity Bias
give me a break!one moment contained as good an unintentional laugh as any in goldsman's old turkeys.,Selective Emphasis Bias
"when the obvious payoff to this scene arrives at a later stage, and nash receives the same tribute himself, the mushy string-music moment stretches on for a minute or two, and then nash actually says, almost directly into the camera: ""how totally unexpected"".",Expectation Bias
"how totally ridiculous!dreamworks continues to be a studio that makes only 3 kinds of films: calculated, soulless, test-marketed attempts to make a big box office; calculated, soulless, test-marketed attempts to win oscars, and, thereafter, a big box office; and spielberg films.",Moral or Political Projection
"it's the only time i can think of that a movie studio only contributed to cultural decline, without a single contribution (and yes, i do include ""american beauty"" and ""saving private ryan"" in that statement.",Moral or Political Projection
"haven't seen ""perdition"" yet, but i'm sure it's still accurate.",Authenticity Bias
")i hope nash's story will actually, one day, be made into a good movie, not a laughable ham-fest with rehashed sixth sense silliness.",Expectation Bias
A Beautiful Mind was not the Best Picture of the year.,Comparative Lens
"I'm sorry, but that distinction goes to In the Bedroom.",Comparative Lens
A Beautiful Mind wasn't even in the top 20.,Comparative Lens
"The story was, for the most part, predictable and not involving.",Expectation Bias
"I won't even go into the many, many inaccuracies in the film.",Authenticity Bias
"The entire time I found myself just wishing the movie would end.First of all, Russell Crowe was far from convincing as a genius.",Performance Appraisal
"His accent was beyond inconsistent and he never, not for even the smallest moment, convinced me that he WAS John Nash.",Performance Appraisal
I can find solace in the fact that he didn't get the Oscar for this overrated performance.,Disposition Bias
"It's a shame they can't take back the one they gave him last year.Jennifer Connelly was decent in a role that I, among others, feel should not have been categorized as supporting.",Performance Appraisal
"Either way, it wasn't even the best supporting performance of the year.",Comparative Lens
That prize should have gone to Marisa Tomei.,Comparative Lens
I think Connelly is a very fine actress and if she deserved an Oscar it was for her performance in Requiem for a Dream in 2000.,Performance Appraisal
She wasn't even nominated for that.,Omission Focus
But I digress...I saw nothing in the movie that would have warranted a Best Director nod for Ron Howard either.,Performance Appraisal
"He's a capable director, but this was nowhere near an Oscar-worthy job.",Expectation Bias
Take a look at what David Lynch did in Mulholland Dr. or what Christopher Nolan did in Memento or even Ridley Scott in Black Hawk Down.,Comparative Lens
These are examples of greatness.A Beautiful Mind is not an example of greatness.,Comparative Lens
"It is an over-hyped, overrated, piece of fluff trying to sell itself as something meaningful.",Expectation Bias
"With such extraordinary pieces of work submitted this year, what a true shame that this refuse was given the distinction as the best.",Expectation Bias
A Beautiful Mind represents so much of what is wrong with Hollywood and the Oscars.,Moral or Political Projection
"Though this film is largely vapid, trite, and completely fails to delve into John Nash's psyche at all, it presents the illusion of a strong character study.",Omission Focus
"The beautiful cinematography, musical score, and close-ups all work to create, like a formula, the illusion of feeling.",Selective Emphasis Bias
The audience sees (close-up + sad music + frustrated Russel Crowe = sad reaction).,Selective Emphasis Bias
Ron Howard provided the audience with all of the trappings they expect to see in an Oscar-calibre film and most moviegoing audiences have been trained to believe that slow-motion and nice cinematogrgraphy are the elements that make a good film.,Expectation Bias
"Yet, this film completely lacks the kind of character development and true inner conflict that thrives in a film like Monster's Ball.",Comparative Lens
It is a veneer and never even attempts to get below the surface.,Omission Focus
Ron Howard went fishing for an Oscar and got two.,Disposition Bias
The fact that Howard won an Oscar is embarrasing.,Disposition Bias
"Not that he is an awful dirctor, but he's certainly not on the level that would warrant an Oscar.",Comparative Lens
He's best when he is simply entertaining -,Selective Emphasis Bias
I can scarcely believe that this is in line for best pcture and best director Oscars.,Expectation Bias
For me it seemed to be an OK movie with a good movie trying to get out.,Disposition Bias
This is almost the definition of a movie where the direction just hasn't quite nailed it.,Expectation Bias
Perhaps the casting was the problem - Jennifer Connelly was OK but Russell Crowe just never really seemed convincing in the part.,Performance Appraisal
He did his best but I never really believed he was doing anything other than acting a part.,Performance Appraisal
"If you consider yourself an intellectual or a seeker of truth, read the book and don't waste your time watching this piece of technicolor drivel.",Disposition Bias
The lies so far outweigh the truth as to make it a betrayal of its subject and its audience.,Moral or Political Projection
"That is despite good performances by Crowe and Connelly and some others and three false scenes clever enough to justify themselves.I am not a mathematician or a scientist, but despite my lack of understanding, the first page of Sylvia Nasar's book was more interesting to me than the entire movie.Screenplays frequently change facts and oversimplify to convey important information or feelings efficiently and powerfully.",Expectation Bias
"But this movie takes a fascinating real story and completely ignores almost everything fascinating about it and tells a different, ridiculous story that would be journalistically justifiable but mediocre at best as art IF IT WERE TRUE ... which it is not.Until now I thought Moulin Rouge was the worst movie of the year ...",Omission Focus
"Want to make a biographical film, but you don't think your subject is that interesting?",Disposition Bias
"Well, just make stuff up and throw it into the plot!",Authenticity Bias
John Nash's audio-hallucinations are too dull?,Authenticity Bias
"Yes, that was all made up!",Authenticity Bias
Don't like the hispanicity of the woman he married?,Representation Critique
Make her Caucasian!,Representation Critique
There are many more such untrue aspects of this film.,Authenticity Bias
"One quote from Wikipedia: ""The narrative of the film differs considerably from the events of Nash's life, as filmmakers made choices for the sense of the story.",Authenticity Bias
"The film has been criticized for this aspect, but the filmmakers said they never intended a literal representation of his life.""",Authenticity Bias
"Oh, NOW they tell me.",Omission Focus
I wonder if the movie would have won as many awards if people had known that so much of it had never happened.,Authenticity Bias
I'll never trust another Ron Howard film.,Disposition Bias
"Unfortunately, due to a type of treacherous nepotism in Hollywood, this mediocre movie won the honor which should not have been its due.",Moral or Political Projection
"Ron Howard has played Salieri to much more deserving directors, with the academy's approval.",Comparative Lens
"It will be quickly relegated to the ""what was that movie about?""",Expectation Bias
"pile in a few years, just as Annie Hall has been.",Comparative Lens
"If it had not been awarded this undeserved high honor, it could have sunken into the obscurity which is its fate with a little dignity.",Expectation Bias
Now it will always be remembered as the movie that made millions of people decide that Oscar was no longer worth watching.,Moral or Political Projection
I do have to give credit to Ron Howard for trying so hard to show us the power of the mind to overcome all obstacles.,Performance Appraisal
"Howard's heart was in the right place, but unfortunately, the movie failed to demonstrate the intended message.",Expectation Bias
John Nash does not overcome his obstacles completely.,Expectation Bias
"While his struggle is appreciated, he isn't fully able to overcome his daemons, leaving this viewer feeling only despair at the end of the movie.",Expectation Bias
"First of all, am i the only one who saw the microphone's in the movie?",Omission Focus
"At least 4 times did i saw a microphone on the screen, my god ...",Omission Focus
!It's a real shame that there wasn't more room in the script to show Mr. Nash's character.,Omission Focus
"The film let's you think that he has a real awfull character.Another thing that was very strange (except for the microphone's :-)), was the fact that Ms. Nash didn't age, or that it didn't look natural at all (especially the scene where Mr. Nash wins the Nobelprice).It's not all bad though, the movie touched me and i learned more about Mr. Nash.To end this, i like the idea of the movie, but they didn't do a good job to make it.",Expectation Bias
I've ner seen such a laughable biopic than this one.,Disposition Bias
"I remember watching this when I was very young, and I thought of it as an okay movie back then, but boy this movie didn't age well.The script by Akiva Goldsmith is atotal mess.",Expectation Bias
"Let's start with the first Hollywood cliché: so no matter how unlikeable and unrelatable our protagonist is, and don't worry he's going to be a dick to everyone, but as long as he's a genius (or the chosen one) every other character in this film will want to be friends with him.",Comparative Lens
"I hope the real John Nash wasn't this piece of work, because the scripts bends itself backwards to make him as unlikeable as possible but everybody is written to like him,
Meanwhile the movie never bothers to ""show"" what makes Nash a genius, it always ""tells"" through other characters.",Expectation Bias
"His theory is never properly explored or his genius, he's apparently good at breaking codes by looking at numbers.",Omission Focus
"ALright, let's go into M Night territory.The movie makes a hard turn and changes the pace to hard drama, but the way Crowe is directed, sometimes borders on the edges of comedy.",Performance Appraisal
"Hard cut to Crowe neglectfully holding his baby in the kitchen with a catatonic look, that was definitely a comedy cut and it had me howling.",Performance Appraisal
"The direction is what you expect from Ron Howard: bland, dull but gets the job done.",Expectation Bias
The budget is the only thing that prevents it from being a b-movie.,Selective Emphasis Bias
Even the soundtrack by James Horner is pushing way too much.,Selective Emphasis Bias
It's one of those films that try to pander so hard for the Oscars that you need a shower afterwards.,Moral or Political Projection
"Checking the requisite Oscar boxes, Ron Howard sanded off all the actual cruel edges of a genius suffering with very real and horrendous paranoid schizophrenia in a largely fictitious tale of how love can conquer all.",Omission Focus
"Unfortunately, the Hollywood treatment conveniently ignored the hard realities of what was actually a fascinating biography of a man struggling a lifetime to balance his genius and madness, leaving viewers with an abundance of sanitized movie madness scenes, very little glimpses of genius, and a romantic relationship with no apparent basis.",Omission Focus
Read the book - would that the screenwriter and director had done so.,Comparative Lens
"Kind of stinks.There is one great scene where Crowe comes up with his economic plan by trying to pick up women at a bar....but beyond that, it sort of stinks.The fault is mainly with Crowe and Connolly.",Performance Appraisal
"Connolly has always had a hard time emoting and Crowe really only plays Crowe aide from the rare movie like ""The Insider.""",Performance Appraisal
"The director did a great job aside of the lead, but really we have Crowe playing Crowe thinking he is the greatest actor on earth and, really, he should be playing John Nash.John Nash doesn't really make an appearance in the film at all, it is all Crowe and that just doesn't work for a biopic.Any other actor and it would have been as great as the fans make it out to be.",Omission Focus
"They managed to make it so that, indeed, until the middle of the movie nothing is clear (I speak for myself, maybe someone is smarter).",Expectation Bias
It's even strange how many years his wife lived with him and even she couldn't notice how creepy his veneer whistles are!,Representation Critique
"In this movie, you can beautifully see how limitless talent Russell Crowe - for two years, such a great game in such different movies (I mean Gladiator again.)",Performance Appraisal
"Again, this movie can be traced in the desire and the outcome of their great American dream (yet he won recognition - Nobel Prize is not the weakest confirmation of that).",Moral or Political Projection
"I'm getting sidetracked again!Of course, you can say something bad about the movie, by and large, you will find no one to mark except for Russell Crowe in the movie, but again, this is just my opinion.",Disposition Bias
"A lot of people will say, ""How, how great was Jennifer Connelly!""",Performance Appraisal
- I just don't like her!,Disposition Bias
"I put off seeing this movie for quite some time because I didn't want to get caught up in the ""Beautiful Mind"" obsession.",Disposition Bias
"But now that I have seen it, I wish I had used the time to do things that have more meaning, like reorganizing your sock drawer.",Expectation Bias
This is a manufactured film made expressly to win Oscars.,Moral or Political Projection
I have never seen as self-centered performance as Russell Crowe's.,Performance Appraisal
"Throughout the entire movie he might as well be saying ""I'm going to win an Oscar for playing this freak.",Performance Appraisal
"He has no respect for the amazing man that he is playing, you can see that in his incredibly cliched movements that look like he read a book about what crazy people do, marked exactly where he was going to do these movements, and then executed them without thinking if this is the right time or if it makes sense for the character to do them then.",Performance Appraisal
"I was so relieved when he did not win the Oscar, but I didn't think Denzel Washington's performance in Training Day was all that spectacular, but it was more of a career award for him.",Disposition Bias
"Russell Crowe, however, has had a career about as impressive as a box of hair.",Performance Appraisal
Jennifer Connelly was just okay.,Performance Appraisal
